piloto_id,nome,sobrenome,corrida_id,nome
9,Robert,Kubica,18,"Australian Grand Prix"
14,David,Coulthard,18,"Australian Grand Prix"
17,Mark,Webber,18,"Australian Grand Prix"
18,Jenson,Button,18,"Australian Grand Prix"
19,Anthony,Davidson,18,"Australian Grand Prix"
20,Sebastian,Vettel,18,"Australian Grand Prix"
21,Giancarlo,Fisichella,18,"Australian Grand Prix"
10,Timo,Glock,19,"Malaysian Grand Prix"
18,Jenson,Button,20,"Bahrain Grand Prix"
22,Rubens,Barrichello,21,"Spanish Grand Prix"
7,S̩bastien,Bourdais,21,"Spanish Grand Prix"
12,Nelson,"Piquet Jr.",21,"Spanish Grand Prix"
16,Adrian,Sutil,21,"Spanish Grand Prix"
20,Sebastian,Vettel,21,"Spanish Grand Prix"
6,Kazuki,Nakajima,22,"Turkish Grand Prix"
21,Giancarlo,Fisichella,22,"Turkish Grand Prix"
16,Adrian,Sutil,23,"Monaco Grand Prix"
7,S̩bastien,Bourdais,23,"Monaco Grand Prix"
8,Kimi,R�_ikk̦nen,24,"Canadian Grand Prix"
1,Lewis,Hamilton,24,"Canadian Grand Prix"
