nome,corridas_realizadas
"British Grand Prix",69
"Italian Grand Prix",69
"Monaco Grand Prix",65
"German Grand Prix",63
"Belgian Grand Prix",63
"French Grand Prix",59
"Canadian Grand Prix",49
"Spanish Grand Prix",48
"Brazilian Grand Prix",46
"United States Grand Prix",40
"Australian Grand Prix",34
"Japanese Grand Prix",34
"Hungarian Grand Prix",33
"Austrian Grand Prix",31
"Dutch Grand Prix",30
"San Marino Grand Prix",26
"European Grand Prix",23
"South African Grand Prix",23
"Argentine Grand Prix",20
"Malaysian Grand Prix",19
"Mexican Grand Prix",19
"Portuguese Grand Prix",16
"Chinese Grand Prix",15
"Bahrain Grand Prix",14
"Singapore Grand Prix",11
"Indianapolis 500",11
"Abu Dhabi Grand Prix",10
"United States Grand Prix West",8
"Turkish Grand Prix",7
"Detroit Grand Prix",7
"Swiss Grand Prix",6
"Swedish Grand Prix",6
"Russian Grand Prix",5
"Korean Grand Prix",4
"Indian Grand Prix",3
"Luxembourg Grand Prix",2
"Pacific Grand Prix",2
"Caesars Palace Grand Prix",2
"Azerbaijan Grand Prix",2
"Moroccan Grand Prix",1
"Pescara Grand Prix",1
"Dallas Grand Prix",1
