PILOTO,PAIS,Vitorias,TOTAL_VITORIAS
hamilton,British,1,392
fisichella,Italian,1,198
panis,French,1,172
vettel,German,1,164
massa,Brazilian,1,150
parsons,American,1,126
raikkonen,Finnish,1,118
webber,Australian,1,84
berger,Austrian,1,79
reutemann,Argentine,1,70
mclaren,"New Zealander",1,70
siffert,Swiss,1,42
boutsen,Belgian,1,41
alonso,Spanish,1,40
peterson,Swedish,1,38
scheckter,"South African",1,31
rodriguez,Mexican,1,21
max_verstappen,Dutch,1,20
maldonado,Venezuelan,1,16
montoya,Colombian,1,13
kubica,Polish,1,12
villeneuve,Canadian,1,10
